ano;us;canada;japan;france;germany;italy;uk
1981;10,31553398;12,48357424;4,725274725;13,29639889;6,343713956;18,15336463;11,97452229
1982;6,160616062;10,86448598;2,938090241;12,10268949;5,206073753;16,29139073;8,532423208
1983;3,212435233;5,795574289;1,732925586;9,378407852;3,402061856;14,80637813;4,612159329
1984;4,317269076;4,282868526;2,304609218;7,676969093;2,392821535;10,51587302;5,01002004
1985;3,561116458;4,106972302;2,056807052;5,833333333;2,044790652;9,245960503;6,011450382
1986;1,858736059;4,128440367;0,671785029;2,537182852;-0,190839695;5,916187346;3,420342034
1987;3,649635036;4,317180617;0;3,327645051;0,286806883;4,809930178;4,177545692
1988;4,137323944;4,054054054;0,667302193;2,642444261;1,334604385;5,03330866;4,92898914
1989;4,818258664;4,951298701;2,272727273;3,539823009;2,72812794;6,201550388;7,802547771
1990;5,403225806;4,795050271;3,148148148;3,263403263;2,747252747;6,436629064;9,453471196
1991;4,208110176;5,608856089;3,231597846;3,235515425;3,654188948;6,296758105;5,870445344
1992;3,010279001;1,537386443;1,739130435;2,332361516;5,073086844;5,278592375;3,696622052
1993;2,993585175;1,789401239;1,282051282;2,136752137;4,41898527;4,568245125;1,59803319
1994;2,560553633;0,202839757;0,675105485;1,673640167;2,742946708;4,049014385;2,41984271
1995;2,834008097;2,159244265;-0,083822297;1,783264746;1,678108314;5,273937532;3,48493798
1996;2,952755906;1,585204756;0,083892617;2,021563342;1,500375094;3,988326848;2,397260274
1997;2,294455067;1,625487646;1,844090528;1,188903567;1,84774575;2,057998129;3,177257525
1998;1,557632399;0,959692898;0,576131687;0,652741514;0,943396226;1,970669111;3,40356564
1999;2,208588957;1,711026616;-0,327332242;0,518806744;0,647016535;1,662921348;1,515151515
2000;3,361344538;2,741433022;-0,65681445;1,677419355;1,428571429;2,519893899;2,985074627
2001;2,845528455;2,546998181;-0,743801653;1,649746193;1,971830986;2,759810263;1,749125437
2002;1,581027668;2,247191011;-0,915903414;1,935081149;1,312154696;2,517834662;1,669941061
2003;2,279043913;2,776171197;-0,25210084;2,082057563;1,090661213;2,660663119;2,898550725
2004;2,663043478;1,857062465;0;2,159568086;1,685772084;2,192982456;3,004694836
2005;3,388035998;2,154696133;-0,336983993;1,702877275;1,923076923;1,950838861;2,825888788
