ano;dollar_aus;dollar_can;yuan_chi;yen_jap;peso_mex;won_kor;krona_swe;franc_swi;pound_uk
1985;0,70;1,37;2,94;238,47;0,26;872,45;8,60;2,46;1,30
1986;0,67;1,39;3,46;168,35;0,61;884,60;7,13;1,80;1,47
1987;0,70;1,33;3,73;144,60;1,38;826,16;6,35;1,49;1,64
1988;0,78;1,23;3,73;128,17;2,27;734,52;6,14;1,46;1,78
1989;0,79;1,18;3,77;138,07;2,46;674,13;6,46;1,64;1,64
1990;0,78;1,17;4,79;145,00;2,81;710,64;5,92;1,39;1,78
1991;0,78;1,15;5,33;134,59;3,02;736,73;6,05;1,44;1,77
1992;0,74;1,21;5,52;126,78;3,10;784,66;5,83;1,41;1,77
1993;0,68;1,29;5,78;111,08;3,12;805,75;7,80;1,48;1,50
1994;0,73;1,37;8,64;102,18;3,39;806,93;7,72;1,37;1,53
1995;0,74;1,37;8,37;93,96;6,45;772,69;7,14;1,18;1,58
1996;0,78;1,36;8,34;108,78;7,60;805,00;6,71;1,24;1,56
1997;0,74;1,38;8,32;121,06;7,92;953,19;7,64;1,45;1,64
1998;0,63;1,48;8,30;130,99;9,15;1400,40;7,95;1,45;1,66
1999;0,65;1,49;8,28;113,73;9,55;1189,84;8,27;1,50;1,62
2000;0,58;1,49;8,28;107,80;9,46;1130,90;9,17;1,69;1,52
2001;0,52;1,55;8,28;121,57;9,34;1292,02;10,34;1,69;1,44
2002;0,54;1,57;8,28;125,22;9,66;1250,31;9,72;1,56;1,50
2003;0,65;1,40;8,28;115,94;10,79;1192,08;8,08;1,35;1,63
2004;0,74;1,30;8,28;108,15;11,29;1145,24;7,35;1,24;1,83
2005;0,76;1,21;8,19;110,11;10,89;1023,75;7,47;1,25;1,82
2006;0,75;1,13;7,97;116,31;10,91;954,32;7,37;1,25;1,84
