obs;rem;gast
1;19583;3346
2;20263;3114
3;20325;3554
4;26800;4642
5;29470;4669
6;26610;4888
7;30678;5710
8;27170;5536
9;25853;4168
10;24500;3547
11;24274;3159
12;27170;3621
13;30168;3782
14;26525;4247
15;27360;3982
16;21690;3568
17;21974;3155
18;20816;3059
19;18095;2967
20;20939;3285
21;22644;3914
22;24624;4517
23;27186;4349
24;33990;5020
25;23382;3594
26;20627;2821
27;22795;3366
28;21570;2920
29;22080;2980
30;22250;3731
31;20940;2853
32;21800;2533
33;22934;2729
34;18443;2305
35;19538;2642
36;20460;3124
37;21419;2752
38;25160;3429
39;22482;3947
40;20969;2509
41;27224;5440
42;25892;4042
43;22644;3402
44;24640;2829
45;22341;2297
46;25610;2932
47;26015;3705
48;25788;4123
49;29132;3608
50;41480;8349
51;25845;3766
