ANO;IIPBBL;IIPBM;PIBB;PIBM
1990;887;886600;7113;7112500
1991;829;829100;7101;7100500
1992;878;878300;7337;7336600
1993;954;953500;7533;7532700
1994;1042;1042300;7836;7835500
1995;1110;1109600;8032;8031700
1996;1209;1209200;8329;8328900
1997;1321;1320600;8704;8703500
1998;1455;1455000;9067;9066900
1999;1576;1576300;9470;9470300
2000;1679;1679000;9817;9817000
2001;1629;1629400;9891;9890700
2002;1545;1544600;10049;10048800
2003;1597;1596900;10301;10301000
2004;1714;1713900;10704;10703500
2005;1842;1842000;11049;11048600
