Obs	Area	Y	X2	X3
1	Alabama	38372840	424471	2689076
2	Alasca	1805427	19895	57997
3	Arizona	23736129	206893	2308272
4	Arkansas	26981983	304055	1376235
5	Califórnia	217546032	1809756	13554116
6	Colorado	19462751	180366	1790751
7	Connecticut	28972772	224267	1210229
8	Delaware	14313157	54455	421064
9	Distrito de Colúmbia	159921	2029	7188
10	Florida	47289846	471211	2761281
11	Geórgia	63015125	659379	3540475
12	Havaí	1809052	17528	146371
13	Idaho	10511786	75414	848220
14	Illinois	105324866	963156	5870409
15	Indiana	90120459	835083	5832503
16	Iowa	39079550	336159	1795976
17	Kansas	22826760	246144	1595118
18	Kentucky	38686340	384484	2503693
19	Louisiana	69910555	216149	4726625
20	Maine	7856947	82021	415131
21	Maryland	21352966	174855	1729116
22	Massachusetts	46044292	355701	2706065
23	Michigam	92335528	943298	5294356
24	Minnesota	48304274	456553	2833525
25	Mississipi	17207903	267806	1212281
26	Missouri	47340157	439427	2404122
27	Montana	2644567	24167	334008
28	Nebraska	14650080	163637	627806
29	Nevada	7290360	59737	522335
30	New Hampshire	9188322	96106	507488
31	Nova Jersey	51298516	407076	3295056
32	Novo México	20401410	43079	404749
33	Nova York	87756129	727177	4260353
34	Carolina do Norte	101268432	820013	4086558
35	Dakota do Norte	3556025	34723	184700
36	Ohio	124986166	1174540	6301421
37	Oklahoma	20451196	201284	1327353
38	Oregon	34808109	257820	1456683
39	Pensilvânia	104858322	944998	5896392
40	Rhode Island	6541356	68987	297618
41	Carolina do Sul	37668126	400317	2500071
42	Dakota do Sul	4988905	56524	311251
43	Tennessee	62828100	582241	4126465
44	Texas	172960157	1120382	11588283
45	Utha	15702637	150030	762671
46	Vermont	5418786	48134	276293
47	Virgínia	49166991	425346	2731669
48	Washington	46164427	313279	1945860
49	West Virgínia	9185967	89639	685587
50	Wisconsin	66964978	694628	3902823
51	Wyoming	2979475	15221	361536
