ANO;Y;X2;X3;X4;X5;X6
1968;5873;1051,8;1503,6;3,6;5,8;5,9
1969;7852;1078,8;1486,7;3,5;6,7;4,5
1970;8189;1075,3;1434,8;5;8,4;4,2
1971;7497;1107,5;2035,6;6;6,2;4,2
1972;8534;1171,1;2360,8;5,6;5,4;4,9
1973;8688;1235,0;2043,9;4,9;5,9;5
1974;7270;1217,8;1331,9;5,6;9,4;4,1
1975;5020;1202,3;1160;8,5;9,4;3,4
1976;6035;1271,0;1535;7,7;7,2;4,2
1977;7425;1332,7;1961,8;7;6,6;4,5
1978;9400;1399,2;2009,3;6;7,6;3,9
1979;9350;1431,6;1721,9;6;10,6;4,4
1980;6540;1480,7;1298;7,2;14,9;3,9
1981;7675;1510,3;1100;7,6;6,6;3,1
1982;7419;1492,2;1039;9,2;17,5;0,6
1983;7923;1535,4;1200;8,8;16;1,5
