Obs	Estado	Salario	Gastos	D2	D3
1	Connecticut	60822	12436	1	0
2	Illinois	58246	9275	1	0
3	Indiana	47831	8935	1	0
4	Iowa	43130	7807	1	0
5	Kansas	43334	8373	1	0
6	Maine	41596	11285	1	0
7	Massachusetts	58624	12596	1	0
8	Michigan	54895	9880	1	0
9	Minnesota	49634	9675	1	0
10	Missouri	41839	7840	1	0
11	Nebraska	42044	7900	1	0
12	New Hampshire	46527	10206	1	0
13	New Jersey	59920	13781	1	0
14	New York	58537	13551	1	0
15	North Dakota	38822	7807	1	0
16	Ohio	51937	10034	1	0
17	Pennsylvania	54970	10711	1	0
18	Rhode Island	55956	11089	1	0
19	South Dakota	35378	7911	1	0
20	Vermont	48370	12475	1	0
21	Wisconsin	47901	9965	1	0
22	Alabama	43389	7706	0	1
23	Arkansas	44245	8402	0	1
24	Delaware	54680	12036	0	1
25	District of Columbia	59000	15508	0	1
26	Florida	45308	7762	0	1
27	Georgia	49905	8534	0	1
28	Kentucky	43646	8300	0	1
29	Louisiana	42816	8519	0	1
30	Maryland	56927	9771	0	1
31	Mississippi	40182	7215	0	1
32	North Carolina	46410	7675	0	1
33	Oklahoma	42379	6944	0	1
34	South Carolina	44133	8377	0	1
35	Tennessee	43816	6979	0	1
36	Texas	44897	7547	0	1
37	Virginia	44727	9275	0	1
38	West Virginia	40531	9886	0	1
39	Alaska	54658	10171	0	0
40	Arizona	45941	5585	0	0
41	California	63640	8486	0	0
42	Colorado	45833	8861	0	0
43	Hawaii	51922	9879	0	0
44	Idaho	42798	7042	0	0
45	Montana	41225	8361	0	0
46	Nevada	45342	6755	0	0
47	New Mexico	42780	8622	0	0
48	Oregon	50911	8649	0	0
49	Utah	40566	5347	0	0
50	Washington	47882	7958	0	0
51	Wyoming	50692	11596	0	0
